hub,fan_in,complaints,in_corpus,blacklist_finds
+18009985294,1,0,No,No
+18552140961,1,0,No,No
+18448868566,1,0,No,No
+18662745745,1,0,No,No
+18884474706,1,0,No,No
+12092760529,1,0,No,No
+13602030997,1,0,No,No
+15187301561,1,0,No,No
+15187501561,1,0,No,No
+12082620000,1,0,No,No
+16692215979,1,0,No,No
+15163441156,1,0,No,No
+15163441456,1,0,No,No
+14077955065,1,0,No,No
+17195342117,1,0,No,No
+18888617707,1,0,No,No
+14372922437,1,0,No,No
+18005509954,1,0,No,No
+18016180614,1,0,No,No
+14153376652,1,0,No,No
+18018996462,1,0,No,No
+18005964047,1,0,No,No
+19705786120,1,0,No,No
+18664494530,1,0,No,No
+13474785055,1,0,No,No
+12084818530,1,0,No,No
+13363870483,1,0,No,No
+18662635115,1,0,No,No
+18002851431,1,0,No,No
+18063404897,1,0,No,No
+18776878957,1,0,No,No
+18592224308,1,0,No,No
+19173741864,1,0,No,No
+18136997002,1,0,No,No
+12136191531,1,0,No,No
+16196589713,1,0,No,No
+18169364441,1,0,No,No
+18169364440,1,0,No,No
+18777724309,1,0,No,No
+16057777181,1,0,No,No
+18883554400,1,0,No,No
+17205973359,1,0,No,No
+18335397502,1,0,No,No
+18666806172,1,0,No,No
+18445872035,1,0,No,No
+18322373752,1,0,No,No
+14707880548,1,0,No,No
+14709179311,1,0,No,No
+13363556346,1,0,No,No
+18706194043,1,0,No,No
+13605290029,1,0,No,No
+18337955783,1,0,No,No
+18338832793,1,0,No,No
+18338832930,1,0,No,No
+12342063674,1,0,No,No
+18338943201,1,0,No,No
+16452051576,1,0,No,No
+18555072098,1,0,No,No
+18555072298,1,0,No,No
+18004633339,1,0,No,No
+18333491734,1,0,No,No
+19785526428,1,0,No,No
+19496257221,1,0,No,No
+18665206743,1,0,No,No
+18883229570,1,0,No,No
+18432846980,1,0,No,No
+18432788386,1,0,No,No
+18283581591,1,0,No,No
+13023948293,1,0,No,No
+18457230844,1,0,No,No
+18337300756,1,0,No,No
