rank,size,corpus_nodes,shadow_nodes,top_call_type,homogeneity
386,4,1,3,Scam suspicion,1.0
387,4,1,3,Telemarketer,1.0
388,4,2,2,Prank,0.5
389,4,1,3,Non-profit organization,1.0
390,4,3,1,Scam suspicion,1.0
391,4,1,3,Scam suspicion,1.0
392,4,1,3,Telemarketer,1.0
393,4,1,3,Unknown,1.0
394,4,1,3,Text message,1.0
395,4,1,3,Scam suspicion,1.0
396,4,1,3,Unwanted,1.0
397,4,4,0,Scam suspicion,0.75
398,4,1,3,Scam suspicion,1.0
399,4,3,1,Scam suspicion,1.0
400,4,3,1,Debt collector,0.3333
401,4,1,3,Fax,1.0
402,4,1,3,Survey,1.0
403,4,1,3,Valid,1.0
404,4,3,1,Telemarketer,0.6667
405,4,4,0,Debt collector,1.0
406,4,1,3,Scam suspicion,1.0
407,4,3,1,Scam suspicion,1.0
408,4,1,3,Telemarketer,1.0
409,4,2,2,Scam suspicion,0.5
410,4,2,2,Scam suspicion,1.0
411,4,2,2,Scam suspicion,1.0
412,4,1,3,Scam suspicion,1.0
413,4,1,3,Prank,1.0
414,4,1,3,Debt collector,1.0
415,4,1,3,Debt collector,1.0
416,4,1,3,Scam suspicion,1.0
417,4,1,3,Scam suspicion,1.0
418,4,1,3,Scam suspicion,1.0
419,4,4,0,Unwanted,0.5
420,4,1,3,Telemarketer,1.0
421,4,1,3,Valid,1.0
422,4,1,3,Debt collector,1.0
423,4,2,2,Telemarketer,1.0
424,4,1,3,Scam suspicion,1.0
425,4,1,3,Scam suspicion,1.0
426,4,3,1,Scam suspicion,1.0
427,4,2,2,Unknown,1.0
428,4,1,3,Scam suspicion,1.0
429,4,1,3,Telemarketer,1.0
430,4,1,3,Debt collector,1.0
431,4,1,3,Text message,1.0
432,4,1,3,Political call,1.0
433,4,1,3,Scam suspicion,1.0
434,4,1,3,Scam suspicion,1.0
435,4,1,3,Unknown,1.0
436,4,2,2,Scam suspicion,1.0
437,4,1,3,Scam suspicion,1.0
438,4,1,3,Telemarketer,1.0
439,4,2,2,Scam suspicion,1.0
440,4,1,3,Debt collector,1.0
441,4,1,3,Valid,1.0
442,4,2,2,Survey,0.5
443,4,1,3,Scam suspicion,1.0
444,4,1,3,Debt collector,1.0
445,4,1,3,Debt collector,1.0
446,4,1,3,Debt collector,1.0
447,4,3,1,Scam suspicion,0.6667
448,4,3,1,Scam suspicion,1.0
449,4,4,0,Fax,0.75
450,4,3,1,Scam suspicion,1.0
451,4,1,3,Scam suspicion,1.0
452,4,1,3,Scam suspicion,1.0
453,4,2,2,Unknown,0.5
454,4,1,3,Scam suspicion,1.0
455,4,1,3,Text message,1.0
456,4,2,2,Scam suspicion,1.0
457,4,2,2,Scam suspicion,1.0
458,4,1,3,Survey,1.0
459,4,3,1,Unwanted,1.0
460,4,4,0,Scam suspicion,0.75
461,4,1,3,Debt collector,1.0
462,4,1,3,Scam suspicion,1.0
463,4,1,3,Scam suspicion,1.0
464,4,1,3,Text message,1.0
465,4,1,3,Debt collector,1.0
466,4,1,3,Debt collector,1.0
467,4,2,2,Scam suspicion,1.0
468,4,1,3,Scam suspicion,1.0
469,4,1,3,Prank,1.0
470,4,1,3,Telemarketer,1.0
471,4,1,3,Valid,1.0
472,4,1,3,Survey,1.0
473,4,1,3,Unknown,1.0
474,4,1,3,Scam suspicion,1.0
475,4,1,3,Scam suspicion,1.0
476,4,1,3,Scam suspicion,1.0
477,4,1,3,Scam suspicion,1.0
478,4,1,3,Telemarketer,1.0
479,4,1,3,Telemarketer,1.0
480,4,4,0,Scam suspicion,1.0
481,4,1,3,Scam suspicion,1.0
482,4,1,3,Prank,1.0
483,4,2,2,Scam suspicion,1.0
484,4,1,3,Valid,1.0
485,4,1,3,Scam suspicion,1.0
486,4,1,3,Unknown,1.0
487,4,1,3,Telemarketer,1.0
488,4,1,3,Scam suspicion,1.0
489,4,1,3,Scam suspicion,1.0
490,4,2,2,Scam suspicion,1.0
491,4,1,3,Scam suspicion,1.0
492,4,1,3,Scam suspicion,1.0
493,3,1,2,Debt collector,1.0
494,3,3,0,Scam suspicion,1.0
495,3,1,2,Scam suspicion,1.0
496,3,1,2,Scam suspicion,1.0
497,3,2,1,Telemarketer,0.5
498,3,1,2,Unwanted,1.0
499,3,1,2,Debt collector,1.0
500,3,2,1,Scam suspicion,1.0
501,3,1,2,Debt collector,1.0
502,3,1,2,Debt collector,1.0
